,symbol,baseAssetName,tags
0,BTCUSDT,Bitcoin,"['pow', 'mining-zone']"
1,1INCHUSDT,1inch,['defi']
2,AAVEUSDT,Aave,['defi']
3,ACMUSDT,AC Milan Fan Token,['fan_token']
4,ADAUSDT,Cardano,"['Layer1_Layer2', 'pos', 'mining-zone']"
5,AKROUSDT,Akropolis,"['Monitoring', 'Polkadot', 'defi']"
6,ALGOUSDT,Algorand,"['Layer1_Layer2', 'mining-zone', 'pos']"
7,ALICEUSDT,My Neighbor Alice,"['Gaming', 'innovation-zone', 'NFT', 'Metaverse', 'Launchpool', 'Seed']"
8,ALPACAUSDT,Alpaca Finance,"['defi', 'BSC', 'bnbchain']"
9,ALPHAUSDT,Stella,"['defi', 'innovation-zone', 'Launchpad', 'Launchpool', 'Seed']"
10,ANKRUSDT,Ankr,"['liquid_staking', 'pow', 'pos', 'defi']"
11,ANTUSDT,Aragon,"['Monitoring', 'pos', 'Infrastructure']"
12,ARDRUSDT,Ardor,"['Layer1_Layer2', 'mining-zone', 'pos']"
13,ARPAUSDT,ARPA Network,"['Layer1_Layer2', 'Infrastructure']"
14,ARUSDT,Arweave,['storage-zone']
15,ASRUSDT,AS Roma Fan Token,"['fan_token', 'Launchpool', 'bnbchain', 'innovation-zone', 'Seed']"
16,ATAUSDT,Automata,"['Infrastructure', 'Launchpool', 'Polkadot', 'innovation-zone', 'Seed']"
17,ATMUSDT,Atlético de Madrid Fan Token,"['fan_token', 'Launchpool', 'bnbchain', 'innovation-zone', 'Seed']"
18,ATOMUSDT,Cosmos,"['Layer1_Layer2', 'pos']"
19,AUDIOUSDT,Audius,['NFT']
20,AVAUSDT,AVA,[]
21,AVAXUSDT,Avalanche,"['Layer1_Layer2', 'pos']"
22,AXSUSDT,Axie Infinity,"['Gaming', 'Metaverse', 'Launchpad', 'NFT']"
23,BADGERUSDT,Badger DAO,"['defi', 'innovation-zone', 'Seed']"
24,BAKEUSDT,BakeryToken,"['defi', 'bnbchain', 'innovation-zone', 'NFT', 'Seed']"
25,BALUSDT,Balancer,['defi']
26,BANDUSDT,BAND,"['Infrastructure', 'pos', 'Launchpad', 'defi']"
27,BATUSDT,Basic Attention Token,['Infrastructure']
28,BCHUSDT,Bitcoin Cash,"['pow', 'mining-zone']"
29,BELUSDT,Bella Protocol,"['defi', 'innovation-zone', 'BSC', 'Launchpool', 'bnbchain', 'Seed']"
30,BLZUSDT,Bluzelle,['storage-zone']
31,BNBDOWNUSDT,BNBDOWN,['ETF']
32,BNBUPUSDT,BNBUP,['ETF']
33,BNTUSDT,Bancor,['defi']
34,BONDUSDT,BarnBridge,"['Monitoring', 'defi']"
35,BTCDOWNUSDT,BTCDOWN,['ETF']
36,BTCUPUSDT,BTCUP,['ETF']
37,BURGERUSDT,BurgerCities,"['Metaverse', 'Gaming', 'innovation-zone', 'bnbchain', 'Seed']"
38,C98USDT,Coin98,"['defi', 'bnbchain', 'Launchpad']"
39,CAKEUSDT,PancakeSwap,"['defi', 'BSC', 'bnbchain']"
40,CELOUSDT,Celo,"['Layer1_Layer2', 'defi']"
41,CELRUSDT,Celer Network,"['Layer1_Layer2', 'Launchpad']"
42,CFXUSDT,Conflux Network,"['Layer1_Layer2', 'pow']"
43,CHRUSDT,Chromia,"['Layer1_Layer2', 'NFT']"
44,CHZUSDT,Chiliz,"['Layer1_Layer2', 'fan_token', 'NFT']"
45,CKBUSDT,CKB,"['Layer1_Layer2', 'pow']"
46,CLVUSDT,Clover Finance,"['Infrastructure', 'pos']"
47,COMPUSDT,Compound,['defi']
48,COSUSDT,Contentos,[]
49,COTIUSDT,COTI,['defi']
50,CRVUSDT,Curve,['defi']
